"Iphone 12 Mini 64GB White 5,4 Pulgadas Claro","1174068","sku:1174068
Color:White
Marca:APPLE
Tipo de producto:Iphone
Operador:Claro
Bandas:GSM/EDGE (850, 900, 1800, 1900 MHz) UMTS/HSPA+/DC-HSDPA (850, 900, 1700/2100, 1900, 2100 MHz) LTE (1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26,28,30,32,66)
Capacidad de la batería:2227 mAh
Peso del producto:133 GR
Garantía del proveedor:1 año
Modelo:12 Mini
Memoria interna:64 GB
Resolución cámara frontal:12 MP
Cámara frontal:1
Cámara posterior:2
Resolución cámara posterior:12 MP + 12 MP
Memoria RAM:4 GB
Sistema operativo:iOS 14
Tamaño de la pantalla:5,4 pulgadas
Pantalla touch:Si
Tipo de tarjeta SIM:Nano SIM
Zona Wi-Fi:Si
Procesador:A14 Bionic","iphone-12-mini-64gb-white-5-4-pulgadas-claro-1174068","899990"
"Set 107 Piezas Black+Decker Herramientas Manuales BMT107C-LA","1174087","sku:1174087
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:888317001992
Modelo:BMT107C-LA
Alto del empaque:31 CM
Ancho del empaque:14 CM
Profundidad del empaque:38 CM
Alto del producto:27 CM
Ancho del producto:7 CM
Largo del producto:34 CM
Peso del producto:2,3 KG
Incluye:
Garantía del proveedor:6 meses","set-107-piezas-black-decker-herramientas-manuales-bmt107c-la-1174087","24577"
"Notebook Gamer Asus TUF Gaming A15 FA506 AMD Ryzen 5, 8GB RAM, 512GB SSD, 15.6' 144Hz, GTX 1650 4GB","1174071","sku:1174071
Color:Negro
Marca:ASUS
Tipo de producto:Notebook
Almacenamiento SSD:Si
Alto del producto:2,45 CM
Ancho del producto:35,9 CM
Bahía de almacenamiento expandible:Si
Bluetooth:V5.1
Brillo máximo:250 nits
Cantidad de núcleos:Hexa Core
Cantidad de parlantes:2
Cantidad de slot:2
Capacidad del disco duro:512 GB
Consumo:150 W
Duración de la batería:48 WHrs, 3S1P, 3-cell Li-ion
Entrada de audio:1
Entradas HDMI:1
Entradas USB tipo C:1
Garantía del proveedor:1 año
Idioma del sistema operativo:Español
Lector de huella digital:No
Material de la batería:Litio
Material del chasis:Plástico
Memoria de tarjeta grafica:4 GB
Memoria RAM:8 GB
Memoria ram máxima soportada:32 GB
Micrófono integrado:Si
Modelo tarjeta gráfica:NVIDIA GeForce GTX 1650
País de origen:China
Pantalla táctil:No
Peso del producto:2,30 KG
Profundidad del producto:25,6 CM
Puerto RJ45:1
Año del modelo:2022
Relación de aspecto:16:09
Sistema de sonido:DTS software
Sistema operativo:Windows 11 Home
Slot en uso:1
Tamaño de la pantalla:15,6 Pulgadas
Tasa de refresco:144 Hz
Teclado numérico:No
Teclado retroiluminado:Si
Teclas anti-ghosting:No
Tipo de gráficos:Dedicados
Tipo de memoria ram:DDR4
Tipo de pantalla:IPS
Tipo de procesador:AMD Ryzen 5 4600H
Tipo de wi fi:Wi-Fi 6(802.11ax) (Dual band) 2*2
Velocidad de memoria ram:3200 MHz
Velocidad del procesador:3.0 GHz
Webcam:720 PX HD
Wi-Fi integrado:Si
LAN:10/100/1000 Mbps
Tipo de bahía de almacenamiento:M.2 512GB PCIe SSD, M.2 1TB PCIe SSD
Tipo de disco duro:SSD
Tipo de puerto para adaptador de alimentación:AC
Voltaje de salida:20 V
Modelo:TUF Gaming A15 FA506IHRB-HN081W
Información adicional:
Part number:90NR07G7-M00AR0","notebook-gamer-asus-tuf-gaming-a15-fa506-amd-ryzen-5-8gb-ram-512gb-ssd-15-6-144hz-gtx-1650-4gb-1174071","999990"
"Pistola Calor 2 Temperaturas 1500W Black+Decker HG1500-B2C","1174126","sku:1174126
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911228077
Modelo:HG1500-B2C
Alto del producto:7,5 CM
Ancho del producto:23,5 CM
Largo del producto:23,5 CM
Peso del producto:0,8 KG
Información adicional:
Garantía del proveedor:6 meses","pistola-calor-2-temperaturas-1500w-black-decker-hg1500-b2c-1174126","52577"
"Panel TV 50 Pulgadas Decocasa Oslo Off White","1174175","sku:1174175
Marca:DECOCASA
Tipo de producto:Muebles de living
Modelo:Oslo
Alto del producto:134 CM
Ancho del producto:182 CM
Profundidad del producto:7,5 CM
Espesor del producto:25 MM
Peso con empaque:37,7 KG
Material de la estructura:MDF
Color de la estructura:Off White
Acabado:Pintura UV
País de origen:Brasil
Requiere armado:Si
Manual de armado incluido:Si
Servicio de armado incluido:No
Garantía del proveedor:6 meses
Cantidad de bultos:1
Incluye sistema de anclaje:Si
Material de la cubierta:MDF
Perforaciones para cables:Si
Capacidad para TV:Hasta 50 Pulgadas","panel-tv-50-pulgadas-decocasa-oslo-off-white-1174175","189990"
"Orilladora de Corte Black+Decker 800W GH750-B2C","1174106","sku:1174106
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramienta
GTIN:885911093323
Modelo:GH750-B2C
Alto del empaque:22 CM
Ancho del empaque:15 CM
Peso con empaque:4 KG
Alto del producto:22 CM
Ancho del producto:15 CM
Largo del producto:116,5 CM
Peso del producto:4 KG
Alimentación:Eléctrica
Características adicionales:
Garantía del proveedor:6 meses","orilladora-de-corte-black-decker-800w-gh750-b2c-1174106","84504"
"Lijadora Orbital 1/4 Pulgadas de Hoja 200W Black+Decker BS200-B2C","1174156","sku:1174156
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911516044
Modelo:BS200-B2C
Alto del producto:15,5 CM
Ancho del producto:13 CM
Largo del producto:16 CM
Peso del producto:1,5 KG
Longitud del cable:2 MT
Información adicional:
Garantía del proveedor:6 meses","lijadora-orbital-1-4-pulgadas-de-hoja-200w-black-decker-bs200-b2c-1174156","40369"
"Taladro Inalámbrico Black+Decker 12V + 13 Accesorios LD12S-B2C","1174111","sku:1174111
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911563529
Modelo:LD12S-B2C
Alto del empaque:23 CM
Ancho del empaque:29,5 CM
Peso con empaque:10 KG
Alto del producto:7 CM
Ancho del producto:17,5 CM
Largo del producto:20,5 CM
Peso del producto:1,2 KG
Alimentación:Eléctrica
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","taladro-inalambrico-black-decker-12v-13-accesorios-ld12s-b2c-1174111","46942"
"Partidor Auxiliar 350 Amp Black+Decker JS350S-B2C","1174145","sku:1174145
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911311007
Modelo:JS500S-B2C
Alto del producto:14,5 CM
Ancho del producto:31 CM
Largo del producto:39,5 CM
Peso del producto:7,5 KG
Incluye:Pinzas de batería
Información adicional:
Garantía del proveedor:6 meses","partidor-auxiliar-350-amp-black-decker-js350s-b2c-1174145","137088"
"Sierra Caladora Black+Decker 420W KS501-B2C","1174089","sku:1174089
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911448079
Modelo:KS501-B2C
Alto del empaque:20 CM
Ancho del empaque:6,7 CM
Profundidad del empaque:30,5 CM
Alto del producto:19 CM
Ancho del producto:7,7 CM
Largo del producto:29,5 CM
Peso del producto:1,6 KG
Alimentación:Eléctrico
Velocidad del motor:3000/min rpm
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","sierra-caladora-black-decker-420w-ks501-b2c-1174089","38491"
